"Title","URL handle","Description","Vendor","Product category","Type","Tags","Published on online store","Status","SKU","Barcode","Option1 name","Option1 value","Option1 Linked To","Option2 name","Option2 value","Option2 Linked To","Option3 name","Option3 value","Option3 Linked To","Price","Compare-at price","Cost per item","Charge tax","Tax code","Unit price total measure","Unit price total measure unit","Unit price base measure","Unit price base measure unit","Inventory tracker","Inventory quantity","Continue selling when out of stock","Weight value (grams)","Weight unit for display","Requires shipping","Fulfillment service","Product image URL","Image position","Image alt text","Variant image URL","Gift card","SEO title","SEO description","Color (product.metafields.shopify.color-pattern)","Google Shopping / Google product category","Google Shopping / Gender","Google Shopping / Age group","Google Shopping / Manufacturer part number (MPN)","Google Shopping / Ad group name","Google Shopping / Ads labels","Google Shopping / Condition","Google Shopping / Custom product","Google Shopping / Custom label 0","Google Shopping / Custom label 1","Google Shopping / Custom label 2","Google Shopping / Custom label 3","Google Shopping / Custom label 4"
"SHARK ATTACK 1000j Fio 4.4 4passes Meio Termo","shark-attack-1000j-fio-4-4-4passes-meio-termo-46w0i","<h2 style=""box-sizing: border-box; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 1.1; color: #515151; margin-top: 20px; margin-bottom: 10px; font-size: 30px;"">Descri&ccedil;&atilde;o</h2>
<div id=""description-pt-br"" class=""all-language"" style=""box-sizing: border-box; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">
<p style=""box-sizing: border-box; margin: 0px 0px 10px;"">1 Linha Dente de Tubar&atilde;o SHARK ATTACK Fio 4.4 no Carretel de 1000jds 4 Passes Meio Termo&nbsp;</p>
</div>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;""><span style=""color: #515151; font-family: Helvetica Neue, Helvetica, Arial, sans-serif;""><span style=""font-size: 14px;""><strong>&nbsp;</strong></span></span></p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;""><span style=""color: #515151; font-family: Helvetica Neue, Helvetica, Arial, sans-serif;""><span style=""font-size: 14px;""><strong>LINHA FEITA COM O FIO 4.4 ALTA RESIST&Ecirc;NCIA SUPER PODER</strong></span></span></p>
<p>&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">APROXIMADAMENTE&nbsp; 1000 JDS</p>
<div id=""description-pt-br"" class=""all-language"" style=""box-sizing: border-box; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">
<p style=""box-sizing: border-box; margin: 0px 0px 10px;"">OBS: FOTOS ILUSTRATIVAS, SER&Atilde;O ENVIADAS AS CORES DISPON&Iacute;VEIS EM ESTOQUE.</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px;"">&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;""><span style=""color: #e03e2d;"">ATEN&Ccedil;&Atilde;O</span>&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;""><strong>N&atilde;o receber a encomenda caso esteja com a embalagem violada aparentando que o produto foi danificado.</strong>&nbsp;<span style=""color: #e03e2d;"">Devolva imediatamente ao entregador !</span></p>
</div>","Dente de Tubarão","","DENTE DE TUBARÃO - 1000 JDS -","carretel de linha, carretilha de linha pipa, carretilha de madeira, dente de tubarao, ferias pipa, linha de pipa, pipa","TRUE","Active","","","Title","Default Title","","","","","","","","45.4","","","TRUE","","","","","","","","DENY","500","g","TRUE","manual","https://acdn-us.mitiendanube.com/stores/002/383/186/products/whatsapp-image-2023-04-21-at-13-22-5621-d1f834ef5af69c75c017708555136588-640-0.jpeg","1","SHARK ATTACK 1000j Fio 4.4 4passes Meio Termo","","FALSE","","","","","","","","","","New","FALSE","","","","",""
"SHARK ATTACK 3000j Fio 4.4 4Passes Meio Termo","shark-attack-3000j-fio-4-4-4passes-meio-termo-12oau","<p>1 Unidade Linha Dente de Tubar&atilde;o SHARK ATTACK Fio 4.4 na Paila de&nbsp; 3000jds 4 Passes Meio Termo</p>
<p>LINHA FEITA COM O FIO 4.4 ALTA RESIST&Ecirc;NCIA SUPER PORDER</p>
<p>&nbsp;</p>
<p>APROXIMADAMENTE&nbsp; 3000 JDS</p>
<p>OBS: FOTOS ILUSTRATIVAS, SER&Atilde;O ENVIADAS AS CORES DISPON&Iacute;VEIS EM ESTOQUE.</p>
<p>&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;""><span style=""color: #e03e2d;"">ATEN&Ccedil;&Atilde;O</span>&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;""><strong>N&atilde;o receber a encomenda caso esteja com a embalagem violada aparentando que o produto foi danificado.</strong>&nbsp;<span style=""color: #e03e2d;"">Devolva imediatamente ao entregador !</span></p>","Dente de Tubarão","","DENTE DE TUBARÃO - 3000 JDS -","campeao, campeonatodepipas, carretilha, chefao, Dente, dentedetubarao, diamante, diamantepipas, festivaldepipas, funk, linhadecompeticao, melhorlinhadepipa, pipa, pipacombate, Tubarao","TRUE","Active","","","Title","Default Title","","","","","","","","140.3","","","TRUE","","","","","","","","DENY","1000","g","TRUE","manual","https://acdn-us.mitiendanube.com/stores/002/383/186/products/unnamed-3-0c9ef246c825b099fe17708553864939-640-0.jpg","1","SHARK ATTACK 3000j Fio 4.4 4Passes Meio Termo","","FALSE","","","","","","","","","","New","FALSE","","","","",""
"CARRETILHA DE CATRACA 14 POLEGADAS CATRACA","carretilha-de-catraca-14-polegadas-catraca","<h2 style=""box-sizing: border-box; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 1.1; color: #515151; margin-top: 20px; margin-bottom: 10px; font-size: 30px;"">Descri&ccedil;&atilde;o</h2>
<h2 style=""box-sizing: border-box; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 1.1; color: #515151; margin-top: 20px; margin-bottom: 10px; font-size: 30px;""><span style=""font-size: 14px;"">madeira&nbsp;</span></h2>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Tamanho : &nbsp;14 polegadas&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Envernizada</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Carretilha de Catraca&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">&nbsp;</p>","Dente de Tubarão","","CARRETILHAS DENTE DE TUBARÃO","carretel de linha, carretilha de linha pipa, carretilha de madeira, dente de tubarao, ferias pipa, linha de pipa, pipa","TRUE","Active","","","Title","Default Title","","","","","","","","145.0","","","TRUE","","","","","","shopify","5","DENY","1000","g","TRUE","manual","https://acdn-us.mitiendanube.com/stores/002/383/186/products/d0902678-2ae1-4f60-920b-812a170a50ac-47cd83a330251ec0b817571793374197-640-0.jpg","1","CARRETILHA DE CATRACA 14 POLEGADAS CATRACA","","FALSE","","","","","","","","","","New","FALSE","","","","",""
"CARRETILHA DE MADEIRA 14 POLEGADAS ROLAMENTO","carretilha-de-madeira-14-polegadas-rolamento","<h2 style=""box-sizing: border-box; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 1.1; color: #515151; margin-top: 20px; margin-bottom: 10px; font-size: 30px;"">Descri&ccedil;&atilde;o</h2>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">madeira&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Tamanho : &nbsp;14 polegadas&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Envernizada</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Carretilha de Rolamento</p>","Dente de Tubarão","","CARRETILHAS DENTE DE TUBARÃO","carretel de linha, carretilha de linha pipa, carretilha de madeira, dente de tubarao, ferias pipa, linha de pipa, pipa","TRUE","Active","","","Title","Default Title","","","","","","","","135.0","","","TRUE","","","","","","shopify","5","DENY","1000","g","TRUE","manual","https://acdn-us.mitiendanube.com/stores/002/383/186/products/1a54c12e-67db-4c16-a522-73876a33555d-e680a6cea7ce99dfeb17571792666720-640-0.jpg","1","CARRETILHA DE MADEIRA 14 POLEGADAS ROLAMENTO","","FALSE","","","","","","","","","","New","FALSE","","","","",""
"CARRETILHA DE CATRACA 12 POLEGADAS CATRACA","carretilha-de-catraca-12-polegadas-catraca","<h2 style=""box-sizing: border-box; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 1.1; color: #515151; margin-top: 20px; margin-bottom: 10px; font-size: 30px;"">Descri&ccedil;&atilde;o</h2>
<h2 style=""box-sizing: border-box; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 1.1; color: #515151; margin-top: 20px; margin-bottom: 10px; font-size: 30px;""><span style=""font-size: 14px;"">madeira&nbsp;</span></h2>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Tamanho : &nbsp;12 polegadas&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Envernizada</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Carretilha de Catraca&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">&nbsp;</p>","Dente de Tubarão","","CARRETILHAS DENTE DE TUBARÃO","carretel de linha, carretilha de linha pipa, carretilha de madeira, dente de tubarao, ferias pipa, linha de pipa, pipa","TRUE","Active","","","Title","Default Title","","","","","","","","125.0","","","TRUE","","","","","","shopify","4","DENY","1000","g","TRUE","manual","https://acdn-us.mitiendanube.com/stores/002/383/186/products/d0902678-2ae1-4f60-920b-812a170a50ac-8c39d64c4dcc199bb117571791367139-640-0.jpg","1","CARRETILHA DE CATRACA 12 POLEGADAS CATRACA","","FALSE","","","","","","","","","","New","FALSE","","","","",""
"CARRETILHA DE MADEIRA 12 POLEGADAS ROLAMENTO","carretilha-de-madeira-12-polegadas-rolamento","<h2 style=""box-sizing: border-box; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 1.1; color: #515151; margin-top: 20px; margin-bottom: 10px; font-size: 30px;"">Descri&ccedil;&atilde;o</h2>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">madeira&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Tamanho : &nbsp;12 polegadas&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Envernizada</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Carretilha de Rolamento</p>","Dente de Tubarão","","CARRETILHAS DENTE DE TUBARÃO","carretel de linha, carretilha de linha pipa, carretilha de madeira, dente de tubarao, ferias pipa, linha de pipa, pipa","TRUE","Active","","","Title","Default Title","","","","","","","","105.0","","","TRUE","","","","","","shopify","5","DENY","1000","g","TRUE","manual","https://acdn-us.mitiendanube.com/stores/002/383/186/products/photo-2025-06-11-10-51-29-b49ec8c06bea3870af17496750431363-640-0.webp","1","CARRETILHA DE MADEIRA 12 POLEGADAS ROLAMENTO","","FALSE","","","","","","","","","","New","FALSE","","","","",""
"CARRETILHA DE MADEIRA 10 POLEGADAS ROLAMENTO","carretilha-de-madeira-10-polegadas-rolamento","<h2 style=""box-sizing: border-box; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 1.1; color: #515151; margin-top: 20px; margin-bottom: 10px; font-size: 30px;"">Descri&ccedil;&atilde;o</h2>
<h2 style=""box-sizing: border-box; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 1.1; color: #515151; margin-top: 20px; margin-bottom: 10px; font-size: 30px;""><span style=""font-size: 14px;"">madeira&nbsp;</span></h2>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Tamanho : &nbsp;10 polegadas&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Envernizada</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Carretilha de Rolamento</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">&nbsp;</p>","Dente de Tubarão","","CARRETILHAS DENTE DE TUBARÃO","carretel de linha, carretilha de linha pipa, carretilha de madeira, dente de tubarao, ferias pipa, linha de pipa, pipa","TRUE","Active","","","Title","Default Title","","","","","","","","90.0","","","TRUE","","","","","","shopify","5","DENY","1000","g","TRUE","manual","https://acdn-us.mitiendanube.com/stores/002/383/186/products/d0902678-2ae1-4f60-920b-812a170a50ac-759b773c2afcecc44217567762304598-640-0.webp","1","CARRETILHA DE MADEIRA 10 POLEGADAS ROLAMENTO","","FALSE","","","","","","","","","","New","FALSE","","","","",""
"CARRETILHA DE CATRACA 10 POLEGADAS CATRACA","carretilha-de-catraca-10-polegadas-catraca","<h2 style=""box-sizing: border-box; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 1.1; color: #515151; margin-top: 20px; margin-bottom: 10px; font-size: 30px;"">Descri&ccedil;&atilde;o</h2>
<h2 style=""box-sizing: border-box; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 1.1; color: #515151; margin-top: 20px; margin-bottom: 10px; font-size: 30px;""><span style=""font-size: 14px;"">madeira&nbsp;</span></h2>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Tamanho : &nbsp;10 polegadas&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Envernizada</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Carretilha de Catraca&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">&nbsp;</p>","Dente de Tubarão","","CARRETILHAS DENTE DE TUBARÃO","carretel de linha, carretilha de linha pipa, carretilha de madeira, dente de tubarao, ferias pipa, linha de pipa, pipa","TRUE","Active","","","Title","Default Title","","","","","","","","110.0","","","TRUE","","","","","","shopify","3","DENY","1000","g","TRUE","manual","https://acdn-us.mitiendanube.com/stores/002/383/186/products/d0902678-2ae1-4f60-920b-812a170a50ac-9b93086764ddcdc4c217567760383994-640-0.webp","1","CARRETILHA DE CATRACA 10 POLEGADAS CATRACA","","FALSE","","","","","","","","","","New","FALSE","","","","",""
"CAMISA DENTE DE TUBARÃO TAMANHO ""XG"" Regata","camisa-dente-de-tubarao-tamanho-xg-regata","<h2 style=""box-sizing: border-box; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 1.1; color: #515151; margin-top: 20px; margin-bottom: 10px; font-size: 30px;"">Descri&ccedil;&atilde;o</h2>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">1- Camisa Dente de Tubar&atilde;o Tamanho &rdquo; XG &rdquo;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;""><span style=""color: #515151; font-family: Helvetica Neue, Helvetica, Arial, sans-serif;""><span style=""font-size: 14px;""><strong>sem Manga&nbsp;</strong></span></span></p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Composi&ccedil;&atilde;o da malha .</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Nome da malha &ndash; dray<br style=""box-sizing: border-box;"" />Prote&ccedil;&atilde;o uv 20% utra</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">OBS: FOTO ILUSTRATIVA&nbsp;</p>","Dente de Tubarão","","CAMISAS DT","carretel de linha, carretilha de linha pipa, carretilha de madeira, dente de tubarao, ferias pipa, linha de pipa, pipa","TRUE","Active","","","Title","Default Title","","","","","","","","66.0","","","TRUE","","","","","","shopify","0","DENY","300","g","TRUE","manual","https://acdn-us.mitiendanube.com/stores/002/383/186/products/photo-2025-07-09-11-43-49-5139322aee249c305117524126734629-640-0.jpg","1","CAMISA DENTE DE TUBARÃO TAMANHO ""XG"" Regata","","FALSE","","","","","","","","","","New","FALSE","","","","",""
"CAMISA DENTE DE TUBARÃO TAMANHO ""GG"" Regata","camisa-dente-de-tubarao-tamanho-gg-regata","<h2 style=""box-sizing: border-box; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 1.1; color: #515151; margin-top: 20px; margin-bottom: 10px; font-size: 30px;"">Descri&ccedil;&atilde;o</h2>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">1- Camisa Dente de Tubar&atilde;o Tamanho &rdquo; GG &rdquo;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;""><span style=""color: #515151; font-family: Helvetica Neue, Helvetica, Arial, sans-serif;""><span style=""font-size: 14px;""><strong>regata sem Manga&nbsp;</strong></span></span></p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Composi&ccedil;&atilde;o da malha .</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">Nome da malha &ndash; dray<br style=""box-sizing: border-box;"" />Prote&ccedil;&atilde;o uv 20% utra</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">OBS: FOTO ILUSTRATIVA&nbsp;</p>","Dente de Tubarão","","CAMISAS DT","carretel de linha, carretilha de linha pipa, carretilha de madeira, dente de tubarao, ferias pipa, linha de pipa, pipa","TRUE","Active","","","Title","Default Title","","","","","","","","55.0","","","TRUE","","","","","","shopify","6","DENY","300","g","TRUE","manual","https://acdn-us.mitiendanube.com/stores/002/383/186/products/photo-2025-07-09-11-43-49-343fdc1357eab8b2a917524125659360-640-0.webp","1","CAMISA DENTE DE TUBARÃO TAMANHO ""GG"" Regata","","FALSE","","","","","","","","","","New","FALSE","","","","",""
